Created on 11-22-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
1605830400.0,2020-11-20,LTCUSD,81.59,83.77,80.51,80.68,1588.97,130822.78
1605744000.0,2020-11-19,LTCUSD,74,83.32,71.56,81.59,11912.36,947524.53
1605657600.0,2020-11-18,LTCUSD,76.39,77.02,68,74,11429.89,827299.47
1605571200.0,2020-11-17,LTCUSD,74.1,77,71.6,76.39,5631.12,418387.87
1605484800.0,2020-11-16,LTCUSD,62.41,74.54,62.23,74.1,10699.85,735135.57
1605398400.0,2020-11-15,LTCUSD,63.96,64.49,61.22,62.41,1666.11,104687.37
1605312000.0,2020-11-14,LTCUSD,65.87,66.08,61.88,63.96,5145.73,326397.81
1605225600.0,2020-11-13,LTCUSD,60.77,66.53,60.31,65.87,7873.29,502432.39
1605139200.0,2020-11-12,LTCUSD,59.41,60.77,57.62,60.77,5152.27,304425.91
1605052800.0,2020-11-11,LTCUSD,58.08,60.73,57.94,59.41,2329.72,139476.9
1604966400.0,2020-11-10,LTCUSD,59.11,59.56,57.25,58.08,3852.73,224694.34
1604880000.0,2020-11-09,LTCUSD,60.95,61.67,57.5,59.11,2568.52,152533.75
1604793600.0,2020-11-08,LTCUSD,59,62,58.75,60.95,1698.17,102640.83
1604707200.0,2020-11-07,LTCUSD,63.47,64.75,57.18,59,10064.62,607055.12
1604620800.0,2020-11-06,LTCUSD,59.04,63.69,58.96,63.47,9389.27,574772.23
1604534400.0,2020-11-05,LTCUSD,54.52,59.74,54.52,59.04,6120.2,354197.16
1604448000.0,2020-11-04,LTCUSD,53.97,55.25,51.7,54.52,4974.86,266522.87
1604361600.0,2020-11-03,LTCUSD,53.96,54.37,51.08,53.97,4946.16,261024.77
1604275200.0,2020-11-02,LTCUSD,55.5,56.82,53.09,53.96,3619.0,197980.74
1604188800.0,2020-11-01,LTCUSD,55.78,56.18,54.2,55.5,1541.82,85448.22
1604102400.0,2020-10-31,LTCUSD,54.33,56.47,53.83,55.78,3418.75,189214.0
1604016000.0,2020-10-30,LTCUSD,54.81,55.65,52.32,54.33,2014.92,108774.72
1603929600.0,2020-10-29,LTCUSD,55.94,56.54,53.47,54.81,4044.16,223510.27
1603843200.0,2020-10-28,LTCUSD,58.11,60.52,54.89,55.94,6764.32,387625.16
1603756800.0,2020-10-27,LTCUSD,56.95,59,56.61,58.11,8187.66,473763.88
1603670400.0,2020-10-26,LTCUSD,58.86,59.09,55.19,56.95,4462.56,255946.37
1603584000.0,2020-10-25,LTCUSD,59.21,60,56.72,58.86,4226.3,247200.15
1603497600.0,2020-10-24,LTCUSD,55.47,59.66,54.98,59.21,3879.51,225998.96
1603411200.0,2020-10-23,LTCUSD,54.44,56.94,53.21,55.47,4190.71,232887.75
1603324800.0,2020-10-22,LTCUSD,53.14,56.28,53.14,54.44,6039.56,332630.16
1603238400.0,2020-10-21,LTCUSD,46.91,55.05,46.91,53.14,10132.99,528783.99
1603152000.0,2020-10-20,LTCUSD,48.04,48.43,46.5,46.91,2101.06,99172.3
1603065600.0,2020-10-19,LTCUSD,47.58,48.5,46.93,48.04,1368.69,65792.63
1602979200.0,2020-10-18,LTCUSD,46.94,47.92,46.81,47.58,755.6,35795.96
1602892800.0,2020-10-17,LTCUSD,47.55,47.62,46.39,46.94,903.01,42421.02
1602806400.0,2020-10-16,LTCUSD,49.41,49.84,45.61,47.55,4518.12,212684.1
1602720000.0,2020-10-15,LTCUSD,49.63,50.2,48.92,49.41,1541.36,76437.43
1602633600.0,2020-10-14,LTCUSD,49.91,51.01,49.29,49.63,1462.5,73413.71
1602547200.0,2020-10-13,LTCUSD,50.63,50.67,49,49.91,2652.56,132518.71
1602460800.0,2020-10-12,LTCUSD,50.75,51.5,49.37,50.63,2991.68,151154.63
1602374400.0,2020-10-11,LTCUSD,48.97,51.22,48.81,50.75,2667.86,133954.45
1602288000.0,2020-10-10,LTCUSD,47.81,50.4,47.81,48.97,3639.52,179789.4
1602201600.0,2020-10-09,LTCUSD,47.15,48.13,46.71,47.81,2634.34,124829.61
1602115200.0,2020-10-08,LTCUSD,46.55,47.45,45.5,47.15,1745.37,81935.69
1602028800.0,2020-10-07,LTCUSD,45.82,46.89,45.03,46.55,1493.9,69071.48
1601942400.0,2020-10-06,LTCUSD,46.39,48.15,45.63,45.82,4292.14,202241.39
1601856000.0,2020-10-05,LTCUSD,46.75,47.03,45.63,46.39,1100.03,50859.5
1601769600.0,2020-10-04,LTCUSD,45.57,47,45.37,46.75,1331.9,61165.88
1601683200.0,2020-10-03,LTCUSD,45,46,44.8,45.57,1433.22,65169.67
1601596800.0,2020-10-02,LTCUSD,46.07,46.93,43.29,45,2627.8,117855.49
1601510400.0,2020-10-01,LTCUSD,46.21,48.46,45.24,46.07,2478.59,116179.47
1601424000.0,2020-09-30,LTCUSD,45.67,46.66,45.45,46.21,1301.83,59992.27
1601337600.0,2020-09-29,LTCUSD,45.11,45.79,45.02,45.67,2016.01,91288.56
1601251200.0,2020-09-28,LTCUSD,45.92,47.09,44.84,45.11,1556.32,72181.33
1601164800.0,2020-09-27,LTCUSD,46.16,46.54,44.59,45.92,1003.67,46012.7
1601078400.0,2020-09-26,LTCUSD,46.03,46.56,45.24,46.16,1162.36,53406.13
1600992000.0,2020-09-25,LTCUSD,44.96,46.5,44.03,46.03,1203.29,55079.22
1600905600.0,2020-09-24,LTCUSD,43.13,45.14,42.59,44.96,1598.67,70694.41
1600819200.0,2020-09-23,LTCUSD,44.31,45.02,42.78,43.13,1228.99,54166.74
1600732800.0,2020-09-22,LTCUSD,43.25,54.3,42.88,44.31,1760.9,80104.36
